filename,label,x,y,color,participant
9432_right,MA,217,197,red,annotator_1
9432_right,MA,106,322,red,annotator_1
9432_right,MA,296,59,red,annotator_1
7912_left,HE,255,46,blue,annotator_1
7912_left,EX,255,35,green,annotator_1
5408_left,EX,113,334,green,annotator_1
5408_left,EX,112,354,green,annotator_1
5408_left,EX,107,364,green,annotator_1
5408_left,EX,466,270,green,annotator_1
5408_left,EX,477,254,green,annotator_1
5408_left,EX,491,253,green,annotator_1
5408_left,EX,494,262,green,annotator_1
5408_left,EX,487,296,green,annotator_1
5408_left,EX,476,285,green,annotator_1
5408_left,HE,489,269,blue,annotator_1
5408_left,HE,482,273,blue,annotator_1
5408_left,HE,470,310,blue,annotator_1
5408_left,HE,38,360,blue,annotator_1
5408_left,HE,40,339,blue,annotator_1
5408_left,HE,155,67,blue,annotator_1
5408_left,EX,164,71,green,annotator_1
5408_left,EX,144,94,green,annotator_1
5408_left,EX,152,101,green,annotator_1
5408_left,EX,163,102,green,annotator_1
5408_left,EX,171,105,green,annotator_1
5408_left,EX,194,81,green,annotator_1
5408_left,EX,190,61,green,annotator_1
5408_left,EX,194,53,green,annotator_1
5408_left,MA,65,277,red,annotator_1
5408_left,HE,258,362,blue,annotator_1
5408_left,HE,250,365,blue,annotator_1
5408_left,MA,348,438,red,annotator_1
5408_left,MA,294,75,red,annotator_1
5408_left,MA,290,65,red,annotator_1
5408_left,HE,274,117,blue,annotator_1
5408_left,HE,271,107,blue,annotator_1
5408_left,HE,276,100,blue,annotator_1
5408_left,HE,282,108,blue,annotator_1
5408_left,HE,250,97,blue,annotator_1
5408_left,MA,117,151,red,annotator_1
5408_left,MA,114,130,red,annotator_1
5408_left,HE,165,262,blue,annotator_1
5408_left,HE,224,269,blue,annotator_1
5408_left,MA,87,338,red,annotator_1
5408_left,MA,93,96,red,annotator_1
5408_left,MA,71,96,red,annotator_1
5408_left,MA,80,91,red,annotator_1
5162_left,MA,327,378,red,annotator_1
5162_left,MA,317,372,red,annotator_1
5162_left,MA,384,275,red,annotator_1
5162_left,HE,458,332,blue,annotator_1
5162_left,HE,310,409,blue,annotator_1
5162_left,HE,250,338,blue,annotator_1
5162_left,MA,447,127,red,annotator_1
5162_left,MA,187,49,red,annotator_1
5162_left,MA,156,46,red,annotator_1
5162_left,MA,162,27,red,annotator_1
5162_left,EX,215,71,green,annotator_1
5162_left,EX,213,52,green,annotator_1
5162_left,EX,201,53,green,annotator_1
5162_left,EX,230,65,green,annotator_1
5162_left,HE,12,258,blue,annotator_1
5047_left,MA,413,276,red,annotator_1
41744_left,HE,306,249,blue,annotator_1
41744_left,EX,286,261,green,annotator_1
41744_left,HE,346,312,blue,annotator_1
41744_left,MA,233,213,red,annotator_1
41744_left,MA,219,213,red,annotator_1
41744_left,MA,218,140,red,annotator_1
39842_left,EX,139,163,green,annotator_1
39842_left,EX,102,134,green,annotator_1
39842_left,EX,101,148,green,annotator_1
39842_left,MA,156,293,red,annotator_1
39842_left,MA,47,304,red,annotator_1
39842_left,MA,49,132,red,annotator_1
39842_left,MA,88,166,red,annotator_1
39842_left,MA,132,381,red,annotator_1
39842_left,HE,88,428,blue,annotator_1
39842_left,HE,66,251,blue,annotator_1
39842_left,EX,72,242,green,annotator_1
39842_left,EX,77,255,green,annotator_1
39842_left,EX,88,265,green,annotator_1
39842_left,MA,98,264,red,annotator_1
39842_left,HE,92,326,blue,annotator_1
39842_left,HE,25,291,blue,annotator_1
39842_left,EX,24,318,green,annotator_1
39842_left,HE,255,391,blue,annotator_1
39842_left,MA,353,425,red,annotator_1
39842_left,MA,462,253,red,annotator_1
39842_left,MA,382,80,red,annotator_1
39842_left,MA,282,71,red,annotator_1
39842_left,HE,274,67,blue,annotator_1
39842_left,HE,299,166,blue,annotator_1
39842_left,HE,238,157,blue,annotator_1
39842_left,MA,220,175,red,annotator_1
39842_left,MA,197,148,red,annotator_1
39842_left,MA,37,190,red,annotator_1
39842_left,MA,42,223,red,annotator_1
39842_left,MA,45,212,red,annotator_1
39842_left,HE,30,170,blue,annotator_1
39842_left,HE,41,169,blue,annotator_1
39842_left,MA,19,207,red,annotator_1
39842_left,HE,158,117,blue,annotator_1
39842_left,HE,93,87,blue,annotator_1
39842_left,HE,74,117,blue,annotator_1
39842_left,HE,70,421,blue,annotator_1
39842_left,HE,86,413,blue,annotator_1
39221_right,HE,430,111,blue,annotator_1
30884_right,EX,33,300,green,annotator_1
30884_right,MA,39,324,red,annotator_1
30221_right,EX,237,278,green,annotator_1
30221_right,EX,250,275,green,annotator_1
30221_right,EX,254,283,green,annotator_1
30221_right,EX,229,277,green,annotator_1
30221_right,MA,402,334,red,annotator_1
30221_right,MA,374,342,red,annotator_1
30221_right,HE,348,343,blue,annotator_1
286_right,HE,435,317,blue,annotator_1
286_right,HE,464,348,blue,annotator_1
286_right,HE,451,361,blue,annotator_1
286_right,MA,219,200,red,annotator_1
286_right,HE,299,203,blue,annotator_1
286_right,HE,262,61,blue,annotator_1
286_right,HE,259,39,blue,annotator_1
286_right,HE,260,53,blue,annotator_1
286_right,HE,296,61,blue,annotator_1
286_right,MA,467,123,red,annotator_1
286_right,HE,404,166,blue,annotator_1
286_right,MA,397,398,red,annotator_1
286_right,MA,362,377,red,annotator_1
286_right,MA,222,407,red,annotator_1
286_right,HE,240,451,blue,annotator_1
286_right,MA,289,469,red,annotator_1
286_right,MA,274,472,red,annotator_1
286_right,EX,187,259,green,annotator_1
27168_right,EX,304,470,green,annotator_1
27168_right,EX,292,474,green,annotator_1
27168_right,EX,283,474,green,annotator_1
27168_right,EX,275,481,green,annotator_1
27168_right,EX,163,357,green,annotator_1
27168_right,EX,225,207,green,annotator_1
27168_right,EX,215,196,green,annotator_1
27168_right,MA,188,312,red,annotator_1
27168_right,MA,272,243,red,annotator_1
27168_right,HE,252,236,blue,annotator_1
27168_right,HE,193,336,blue,annotator_1
27168_right,HE,185,337,blue,annotator_1
27168_right,HE,260,486,blue,annotator_1
26841_right,HE,224,167,blue,annotator_1
26841_right,HE,72,159,blue,annotator_1
26841_right,HE,149,352,blue,annotator_1
26841_right,HE,234,482,blue,annotator_1
26841_right,HE,399,395,blue,annotator_1
26841_right,HE,222,327,blue,annotator_1
26841_right,MA,189,222,red,annotator_1
26841_right,MA,124,244,red,annotator_1
26841_right,MA,70,248,red,annotator_1
26841_right,MA,50,261,red,annotator_1
26841_right,HE,413,126,blue,annotator_1
26841_right,HE,432,105,blue,annotator_1
26841_right,HE,389,81,blue,annotator_1
26702_right,EX,351,242,green,annotator_1
26702_right,EX,344,238,green,annotator_1
26702_right,EX,339,253,green,annotator_1
